id,rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,explorer
binance-usd,25,BUSD,BUSD,2471073359.3181715000000000,,2471300159.5544407440700864,229750911.4446901163449590,1.0000917820733302,-0.0966333011358809,1.0001490638835227,https://etherscan.io/token/0x4Fabb145d64652a948d72533023f6E7A623C7C53
ethereum-classic,26,ETC,Ethereum Classic,143082595.2122217000000000,210700000.0000000000000000,2254069272.5081676833475662,32316708.0100550040965867,15.7536230676058609,-0.1944547027397492,15.8753534848669380,http://gastracker.io/
cosmos,27,ATOM,Cosmos,248453201.0000000000000000,,1771099824.8718589572361681,30561494.7434990257398230,7.1285047555972481,-0.0433018054473385,7.1384842138238465,https://www.mintscan.io/
filecoin,28,FIL,Filecoin,449850541.0000000000000000,,1498324403.4611195859387235,27616249.7623539452271775,3.3307160198816335,1.1856660420389932,3.3117740911537554,https://protocol.ai
bitcoin-bep2,29,BTCB,Bitcoin BEP2,53859.6535614500000000,,1444365227.8803665702118100,25231828.6099767991657788,26817.2023466962981113,-1.1587942824670928,27036.0079816232271514,https://explorer.binance.org/asset/BTCB-1DE
lido-dao,30,LDO,Lido DAO,889950305.2989777000000000,1000000000.0000000000000000,1439825912.2735795809357055,902429.2026216461230076,1.6178722606200712,3.3851638441361407,1.6003133175667607,https://etherscan.io/token/0x5a98fcbea516cf06857215779fd812ca3bef1b32
maker,31,MKR,Maker,977631.0369508900000000,1005577.0000000000000000,1429023997.0228357736105728,64996078.1787885029985338,1461.7211841798562917,-4.2583681597745356,1509.5939736014533954,https://etherscan.io/token/Maker
internet-computer,32,ICP,Internet Computer,444871192.3381069000000000,,1403322136.4563762394258694,11523331.0095197711300597,3.1544459623940682,3.2641367706799104,3.1058781736936466,https://www.dfinityexplorer.org/#/
crypto-com-coin,33,CRO,Crypto.com Coin,25263013692.0000000000000000,30263013692.0000000000000000,1280910878.4789300447041592,1785238.8332987873377521,0.0507030116871826,0.8957359428364144,0.0504412613744158,https://etherscan.io/token/0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b
vechain,34,VET,VeChain,72714516834.0000000000000000,86712634466.0000000000000000,1221012112.1221157229611496,8893480.2438203080771987,0.0167918617256244,-0.3941523350251909,0.0168860023464899,https://explore.veforge.com/
quant,35,QNT,Quant,12072738.0000000000000000,14881364.0000000000000000,1087972143.2981817843900348,4008737.7381542015589211,90.1180944453678846,-0.4936956810576507,90.2234835029392101,https://etherscan.io/token/0x4a220e6096b25eadb88358cb44068a3248254675
near-protocol,36,NEAR,NEAR Protocol,941671517.0000000000000000,,1043711205.9629328578112765,7222621.3640739082600772,1.1083601735008545,1.0608743949196897,1.1050749336516217,https://explorer.nearprotocol.com/
aave,37,AAVE,Aave,14538936.3846838600000000,16000000.0000000000000000,952491844.7922074849536968,38331140.0904018158927130,65.5131723250138438,0.7258048132641761,66.0541831892094010,https://etherscan.io/token/0x80fB784B7eD66730e8b1DBd9820aFD29931aab03
the-graph,38,GRT,The Graph,9223545304.0450080000000000,,806234032.1596091336682317,7010417.0059266243945197,0.0874104268568002,0.1884537260443203,0.0875383106042719,https://etherscan.io/token/0xc944e90c64b2c07662a292be6244bdf05cda44a7
algorand,39,ALGO,Algorand,7829231776.5997500000000000,10000000000.0000000000000000,784069834.1970364125471842,15433743.1484709427488891,0.1001464583716232,2.0352906567809312,0.0991150191696643,https://algoexplorer.io/
hedera-hashgraph,40,HBAR,Hedera Hashgraph,14832756028.0000000000000000,50000000000.0000000000000000,734410852.2607504148913840,9421093.2829108630366775,0.0495127709829780,-0.1411965980669200,0.0496854159734790,https://hash-hash.info/
stacks,41,STX,Stacks,1406717293.3857470000000000,1818000000.0000000000000000,669405927.4899023736671423,4243663.1754840284658538,0.4758638645002705,-1.8926586239796236,0.4798881202421358,https://explorer.xinfin.network/
the-sandbox,42,SAND,The Sandbox,2064931926.2233226000000000,3000000000.0000000000000000,653521571.9185627979660873,17352564.4460097413671289,0.3164857706054395,1.9628650185018140,0.3076850955870961,https://etherscan.io/token/0x3845badAde8e6dFF049820680d1F14bD3903a5d0
thorchain,43,RUNE,THORChain,335919476.0000000000000000,500000000.0000000000000000,651738055.2747221186059168,23261574.9753988508773179,1.9401615620367368,-0.4779256276355028,1.9453410719221270,https://explorer.binance.org/asset/RUNE-B1A
tezos,44,XTZ,Tezos,953181681.9311210000000000,,645187489.7391091592838025,4751198.2364701276737456,0.6768777683935095,1.8794616336342949,0.6707348478063100,https://tzkt.io/
